source,target
"This record no longer exists in Pennylane and has been marked as Deleted.","Cet enregistrement n'existe plus dans Pennylane et a été marqué comme Supprimé."
"Sync","Synchroniser"
"Syncing with Pennylane…","Synchronisation avec Pennylane…"
"Synced successfully","Synchronisé avec succès"
"Price (incl. VAT)","Prix (TVA incluse)"
"Units are managed by the system and cannot be modified.","Les unités sont gérées par le système et ne peuvent pas être modifiées."
"Pennylane Unit","Unité Pennylane"
Symbol,Symbole
"Unité","Unité"
"Heure","Heure"
"Jour","Jour"
"Mois","Mois"
"Kilogramme","Kilogramme"
"Mètre carré","Mètre carré"
"Mètre cube","Mètre cube"
"Tonne","Tonne"
"Milligramme","Milligramme"
"Pourcentage","Pourcentage"
"Sans unité","Sans unité"
Sales,Ventes
Invoices,Factures
Settings,Paramètres
"Sync Queue","File de sync"
"Sync Logs","Journal de sync"
Shortcuts,Raccourcis
"Total Customers","Total clients"
"Total Invoices","Total factures"
"Total Quotes","Total devis"
"Invoices Amount Envolution","Évolution du montant des factures"
"Quotes Amounts Evolution","Évolution du montant des devis"
"Manage sales ressources in Pennylane from the Frappe application.","Gérez les ressources de vente Pennylane depuis l'application Frappe."
"Access to the advanced ressources such as settings and sync status.","Accédez aux ressources avancées telles que les paramètres et le statut de synchronisation."
"Cleanup Success Logs","Nettoyer les logs Success"
"Cleanup All Logs","Nettoyer tous les logs"
"Delete all Success logs? Failed logs will be kept.","Supprimer tous les logs Success ? Les logs Failed seront conservés."
"Delete ALL logs including Failed ones? This cannot be undone.","Supprimer TOUS les logs y compris les Failed ? Cette action est irréversible."
"{0} log(s) deleted","{0} log(s) supprimé(s)"
"Delete","Supprimer"
"Syncing…","Synchronisation en cours…"
"Test Connection","Tester la connexion"
"This record has no Pennylane ID yet. Save it first to push it to Pennylane.","Cet enregistrement n'a pas encore d'ID Pennylane. Enregistrez-le d'abord pour l'envoyer vers Pennylane."
"Only records marked as Deleted can be deleted this way.","Seuls les enregistrements marqués comme Supprimé peuvent être supprimés de cette façon."
"Pennylane integration is not enabled.","L'intégration Pennylane n'est pas activée."
"Unsupported DocType: {0}","DocType non supporté : {0}"
"Log Retention","Rétention des logs"
"Log Retention (days)","Rétention des logs (jours)"
"Sync logs older than this number of days are automatically deleted by the daily cleanup task. Set to 0 to disable automatic cleanup.","Les logs de synchronisation plus anciens que ce nombre de jours sont automatiquement supprimés par la tâche de nettoyage quotidienne. Mettre 0 pour désactiver le nettoyage automatique."
"Import From Date","Date de début d'importation"
"Only import invoices created on or after this date. Leave empty to import all. Date filtering is only supported for invoices — quotes, customers and products will always be fully imported.","N'importer que les factures créées à partir de cette date. Laisser vide pour tout importer. Le filtrage par date n'est disponible que pour les factures — les devis, clients et produits seront toujours importés en totalité."
"Cleanup queued — the list will refresh shortly.","Nettoyage en cours — la liste va se rafraîchir dans quelques instants."
